Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000027207,-0.310855856321591,5.79552436351797,13.8182733700091,0.000201368201900245,0.000637355370651627
ENSMUSG00000079084,-0.451593998297896,4.72754928347592,13.8157638096667,0.000201637338713461,0.000638028334546662
ENSMUSG00000103697,1.32796969164483,0.915674781422251,13.8153755596026,0.000201679008796375,0.000638028334546662
ENSMUSG00000036526,-0.331362013988222,8.79660402080181,13.8111638165961,0.000202131604446409,0.00063930453428706
ENSMUSG00000085566,-0.680003093671551,2.7245639515101,13.809650268366,0.000202294500782897,0.000639664071088694
ENSMUSG00000019984,0.456379579938428,5.90605866093309,13.8063212649798,0.000202653251834876,0.000640642583518862
ENSMUSG00000062762,-0.283754802550835,6.23959602683809,13.8032478413028,0.000202985029276452,0.000641535369765751
ENSMUSG00000030094,0.469548368009194,5.00300577440196,13.7932588273045,0.000204067132056673,0.000644798552931807
ENSMUSG00000033809,-0.498470451037894,4.46494761561089,13.7910043638177,0.000204312159246629,0.000645415853565675
ENSMUSG00000027435,-0.756502359963825,5.52135104835792,13.7784323927193,0.000205683993863794,0.000649591539308352
ENSMUSG00000028048,-0.325033919321365,7.48860035987729,13.769354879655,0.00020668028443103,0.000652579440346373
ENSMUSG00000063019,0.468534875917124,4.38369166959385,13.7615184506222,0.000207544271026821,0.000655148250246432
ENSMUSG00000036707,0.301264362569976,7.56417658564674,13.742549158478,0.000209650780505173,0.000661637091657412
ENSMUSG00000004069,-0.392466685508062,5.60165990600843,13.7399021438845,0.000209946434985829,0.000662409290865703
ENSMUSG00000024180,0.496671437767919,3.84381919125672,13.7372117091665,0.000210247369688861,0.000663197770989427
ENSMUSG00000102307,0.444914758540584,5.73858477258098,13.7350043069247,0.000210494600029255,0.000663816506183013
ENSMUSG00000042055,-0.297139111020332,6.55874784933938,13.7263575131906,0.000211465870185482,0.000666717721720166
ENSMUSG00000022818,-0.606510107090834,4.44645803800837,13.719193724741,0.000212273977881821,0.00066910322982104
ENSMUSG00000024085,0.296338620112302,7.89518669491894,13.7152833154459,0.000212716401720356,0.000670335198049892
ENSMUSG00000018651,-0.582233653752748,3.39642314548074,13.7108957734731,0.000213213914493911,0.000671740129154634
ENSMUSG00000005533,1.09904150711451,1.54158353626739,13.7092466613175,0.00021340121384792,0.000672167274640711
ENSMUSG00000066440,-0.556504057498788,7.05536978741719,13.695639944231,0.000214952949111154,0.000676890847261585
ENSMUSG00000026737,0.388643336377364,7.13092947517612,13.6937721763114,0.000215166838382892,0.000677400249908929
ENSMUSG00000025484,0.432249951136146,4.53005992890307,13.6861960203244,0.000216036630621414,0.000679973856031943
ENSMUSG00000026594,1.6409892692298,0.435490344985724,13.6817316198937,0.000216550830967399,0.000681427263741481
ENSMUSG00000050921,1.35518538493675,1.70550766720037,13.6797681957883,0.00021677736432196,0.000681974976211134
ENSMUSG00000097828,-0.791819766520239,2.29886961084215,13.6792081633559,0.000216842022759507,0.000682013293267801
ENSMUSG00000028914,-0.293632047776749,6.27161276607066,13.6757141292194,0.000217245864846594,0.00068311813683676
ENSMUSG00000006276,0.291636418671207,5.94290821605752,13.6716081329438,0.000217721406442438,0.000684447846668101
ENSMUSG00000087200,-1.90188570832322,0.164168678573895,13.6687109062269,0.000218057583736442,0.000685338901629697
ENSMUSG00000062963,-0.307341222142051,5.84213509961906,13.662931538435,0.00021872975096326,0.000687285261972564
ENSMUSG00000030203,1.50123502779291,5.04034343956524,13.6531413033657,0.000219873167925728,0.000690711068494746
ENSMUSG00000030062,-0.356836188058406,7.736950756469,13.6487573942409,0.000220387121978218,0.000692158298025356
ENSMUSG00000022664,-0.340019351018657,5.40522720404764,13.6436799345905,0.000220983898579586,0.00069375747926182
ENSMUSG00000073423,-0.554794741923092,3.70650641759668,13.6435170071549,0.000221003075111106,0.00069375747926182
ENSMUSG00000023032,-1.83472790122782,0.282853386402858,13.6388899220673,0.000221548382805028,0.000695301324060407
ENSMUSG00000085788,0.431903393265124,4.51921054166228,13.634631824711,0.000222051402670058,0.000696711740487704
ENSMUSG00000046058,0.591156418910576,2.6792178887048,13.6252418191571,0.00022316473874666,0.000700035950941733
